wavelength_nm,measured_norm,nist_synth_norm
226.45602400,5.91484903e-03,3.10670555e-02
226.47198500,6.04819507e-03,2.95726406e-02
226.48794600,6.83874655e-03,2.78893638e-02
226.50390600,4.71473474e-03,2.60788889e-02
226.51985200,4.93380322e-03,2.42148538e-02
226.53581200,7.55310030e-03,2.23709449e-02
226.55177300,7.88646538e-03,2.06245943e-02
226.56773400,1.00771502e-02,1.90450205e-02
226.58366400,1.57634060e-02,1.76920363e-02
226.59962500,1.34298505e-02,1.66025182e-02
226.61558500,8.05791028e-03,1.58043044e-02
226.63154600,8.41032479e-03,1.53043569e-02
226.64749100,9.24849986e-03,1.50927583e-02
226.66345200,1.01628727e-02,1.51437503e-02
226.67941300,1.16677779e-02,1.54195644e-02
226.69537400,1.14582341e-02,1.58722751e-02
226.71128800,8.14363273e-03,1.64455090e-02
226.72724900,6.82922183e-03,1.70848194e-02
226.74321000,3.99085627e-03,1.77304275e-02
226.75917100,4.63853700e-03,1.83268850e-02
226.77511600,1.24964282e-02,1.88239994e-02
226.79107700,9.91523002e-03,1.91813892e-02
226.80703700,1.29440899e-02,1.93677069e-02
226.82298300,1.07438804e-02,1.93646578e-02
226.83894300,7.06733975e-03,1.91671995e-02
226.85488900,4.22897419e-03,1.87841036e-02
226.87085000,6.57205448e-03,1.82357004e-02
226.88679500,4.31469664e-03,1.75548610e-02
226.90275600,3.59081817e-03,1.67802149e-02
226.91871600,5.55290980e-03,1.59574700e-02
226.93466200,5.31479188e-03,1.51339617e-02
226.95062300,5.49576150e-03,1.43533071e-02
226.96658300,8.34365178e-03,1.36572970e-02
226.98252900,8.91513477e-03,1.30812179e-02
226.99847400,3.77178779e-03,1.26521850e-02
227.01443500,7.21973521e-03,1.23905167e-02
227.03039600,1.43823221e-03,1.23106003e-02
227.04634100,2.85741499e-03,1.24203383e-02
227.06230200,3.80036194e-03,1.27233744e-02
227.07826200,1.19058958e-03,1.32193551e-02
227.09420800,4.78140775e-03,1.39042068e-02
227.11016800,3.46699686e-03,1.47728420e-02
227.12611400,2.89551386e-03,1.58143737e-02
227.14205900,2.10496238e-03,1.70164775e-02
227.15802000,4.73378417e-03,1.83635126e-02
227.17398100,7.01971616e-03,1.98324037e-02
227.18992600,5.91484903e-03,2.13944643e-02
227.20588700,9.77235927e-03,2.30206336e-02
227.22184800,9.03895609e-03,2.46724262e-02
227.23779300,1.07438804e-02,2.63073524e-02
227.25373800,6.37203543e-03,2.78836424e-02
227.26969900,1.13534622e-02,2.93581943e-02
227.28564500,1.30202876e-02,3.06843467e-02
227.30160500,2.22497381e-02,3.18235347e-02
227.31756600,2.34593771e-02,3.27386045e-02
227.33351100,1.30869607e-02,3.34002312e-02
227.34947200,4.53376512e-03,3.37903358e-02
227.36543300,4.39089437e-03,3.38996713e-02
227.38137800,3.84798552e-03,3.37321468e-02
227.39732400,5.00047624e-03,3.33038485e-02
227.41328400,3.97180684e-03,3.26415103e-02
227.42923000,5.00047624e-03,3.17834396e-02
227.44519000,3.85751024e-03,3.07721880e-02
227.46115100,5.33384132e-04,2.96556322e-02
227.47709700,3.11458234e-03,2.84812691e-02
227.49305700,4.29564720e-03,2.72881511e-02
227.50900300,5.64815697e-03,2.61108423e-02
227.52494800,4.87665492e-03,2.49696399e-02
227.54090900,4.71473474e-03,2.38724172e-02
227.55685400,5.13382227e-03,2.28187381e-02
227.57281500,1.07819792e-02,2.17944161e-02
227.58877600,5.37194018e-03,2.07826993e-02
227.60472100,2.90503858e-03,1.97657466e-02
227.62068200,6.01009620e-03,1.87267765e-02
227.63661200,5.36241547e-03,1.76632477e-02
227.65257300,3.05743404e-03,1.65786633e-02
227.66851800,5.11477284e-03,1.55000091e-02
227.68446400,3.16220592e-03,1.44673787e-02
227.70042400,3.09553291e-03,1.35381743e-02
227.71638500,3.10505762e-03,1.27859654e-02
227.73233000,4.77188304e-03,1.22941264e-02
227.74829100,6.91494428e-03,1.21492974e-02
227.76423600,1.17154015e-03,1.24374472e-02
227.78019700,6.22916468e-03,1.32360441e-02
227.79614300,5.01952567e-03,1.46044371e-02
227.81208800,6.81017240e-03,1.65813533e-02
227.82804900,6.65777693e-03,1.91802813e-02
227.84399400,7.16258691e-03,2.23747505e-02
227.85995500,1.10200972e-02,2.61161443e-02
227.87590000,1.49633298e-02,3.03086914e-02
227.89186100,1.80683875e-02,3.48419254e-02
227.90782200,1.20392418e-02,3.95677396e-02
227.92376700,1.06010096e-02,4.43198939e-02
227.93971300,8.80083818e-03,4.89346495e-02
227.95565800,4.39089437e-03,5.32461377e-02
227.97161900,4.37184494e-03,5.71080547e-02
227.98756400,3.46699686e-03,6.03888469e-02
228.00352500,4.49566625e-03,6.30078388e-02
228.01948500,4.05752929e-03,6.49186972e-02
228.03543100,4.60043814e-03,6.61277924e-02
228.05139200,6.57205448e-04,6.66948689e-02
228.06732200,5.02905039e-03,6.67242484e-02
228.08328200,3.00981046e-03,6.63619236e-02
228.09922800,5.43861320e-03,6.57838602e-02
228.11518900,4.94332794e-03,6.51809315e-02
228.13114900,3.96228212e-03,6.47461247e-02
228.14709500,5.00047624e-03,6.46557707e-02
228.16305500,4.22897419e-03,6.50545301e-02
228.17900100,7.24830936e-03,6.60414542e-02
228.19494600,7.79121821e-03,6.76613705e-02
228.21087600,6.17201638e-03,6.98963540e-02
228.22683700,5.97199733e-03,7.26770605e-02
228.24278300,3.63844176e-03,7.58629237e-02
228.25874300,3.58129346e-03,7.92785984e-02
228.27468900,4.17182589e-03,8.27029576e-02
