wavelength_nm,strength
243.48165800,1.44000000e+08
243.49020500,1.54000000e+08
243.49515700,8.34000000e+08
243.49982200,1.61600000e+09
243.62198800,8.40000000e+07
243.66216300,2.16000000e+09
243.69969000,5.28000000e+08
243.69990000,2.20000000e+09
243.71038500,1.28000000e+08
243.71623800,1.02000000e+08
243.72035600,1.72800000e+09
243.73337000,1.60000000e+08
243.76519600,4.90000000e+08
243.81822100,6.38100000e+07
243.90550000,1.60000000e+08
243.93011300,3.15000000e+09
243.97448800,4.49800000e+09
243.98682900,2.28000000e+08
243.99730000,3.96000000e+07
244.04240000,9.44000000e+08
244.04432000,1.15200000e+09
244.05859600,1.59000000e+09
244.11292700,8.95000000e+08
244.16460600,2.96000000e+08
244.21324500,4.50000000e+08
244.23757200,3.30000000e+09
244.25681900,3.43200000e+09
244.30624100,4.08000000e+08
244.37098100,1.44000000e+09
244.38334700,1.68000000e+08
244.38716600,6.47900000e+07
244.42798900,3.92000000e+08
244.45151000,2.22400000e+09
244.45477700,1.14000000e+08
244.48966400,3.24000000e+08
244.51059400,2.43600000e+09
244.51134900,2.64000000e+08
244.55728700,1.24200000e+09
244.57954600,7.38000000e+08
244.59452300,2.04000000e+08
244.61102900,8.48000000e+08
244.63214300,1.56000000e+08
244.64077700,1.00000000e+09
244.64711400,4.20000000e+08
244.72039500,6.90000000e+08
244.73268700,5.20000000e+08
244.73770000,1.17000000e+08
244.77547800,1.97000000e+09
244.81147000,3.20000000e+08
244.97074300,2.28000000e+08
244.99651400,4.96000000e+08
245.00318400,1.00000000e+09
245.01383800,1.84000000e+08
245.02052000,5.04000000e+08
245.02829200,6.80000000e+08
245.12167500,1.20000000e+08
245.21390200,2.76000000e+08
245.21997800,3.20000000e+08
245.31546700,8.84000000e+08
245.34759200,1.32300000e+08
245.35682300,1.59900000e+08
245.37472000,2.20000000e+08
245.37971700,1.28000000e+08
245.39154700,1.56000000e+08
245.39755900,1.31000000e+09
245.45764700,1.39200000e+09
245.45840900,8.00000000e+07
245.56910500,4.10000000e+08
245.57105300,8.08000000e+08
245.58979400,1.03800000e+09
245.66420000,1.80000000e+08
245.68209500,1.04000000e+08
245.69656900,1.32000000e+08
245.71016900,1.88000000e+08
245.73395000,1.06800000e+09
245.75801800,8.88000000e+08
245.75968000,5.29100000e+08
245.83589400,2.52000000e+08
245.87834900,2.77200000e+09
245.89730300,1.00000000e+09
245.92806300,9.60000000e+07
246.01541900,4.02000000e+08
246.04400800,6.46800000e+09
246.06504000,2.60000000e+08
246.12832600,1.87200000e+09
246.16696700,7.20000000e+07
246.18607500,2.43000000e+09
246.21808600,5.50000000e+07
246.23182200,5.46000000e+08
246.26470700,5.26500000e+08
246.29870000,1.19000000e+07
246.32810000,7.10000000e+08
246.37304300,8.20000000e+07
246.39027500,4.08000000e+08
246.40094800,1.05600000e+09
246.45581700,1.60000000e+08
246.49051200,8.88000000e+08
246.51491100,3.91500000e+08
246.51999200,5.36000000e+08
246.58772500,5.50000000e+08
246.59133900,9.72000000e+08
246.64974300,9.60000000e+08
246.66709500,5.20000000e+08
246.67668200,1.18200000e+09
246.68190000,7.08000000e+08
246.69848900,2.08000000e+08
246.77411700,3.40000000e+08
246.82979200,1.00000000e+08
246.88796800,2.64000000e+08
246.95144800,1.54800000e+09
246.97151200,2.16000000e+08
246.98314600,3.84000000e+08
247.04088200,3.60000000e+08
247.06691000,9.24000000e+08
247.07649600,1.80000000e+08
247.08789400,1.96800000e+09
247.12756200,3.32000000e+08
247.23361400,9.63000000e+07
247.23511800,9.37300000e+07
247.24280400,3.20000000e+08
247.26051500,3.22000000e+09
247.26506000,1.72000000e+08
247.28720300,6.30000000e+07
247.28947300,9.10000000e+08
247.30302400,6.48000000e+08
247.33210500,5.40000000e+08
247.34604800,1.36000000e+08
247.40534900,1.29000000e+09
247.42091600,2.22000000e+08
247.44889900,7.56000000e+08
247.45195000,6.36000000e+08
247.47651000,7.76000000e+08
247.48142300,4.29100000e+08
247.51168100,2.23200000e+09
247.51179800,1.60000000e+08
247.55412800,2.54400000e+09
247.62638900,1.00000000e+08
247.66565800,9.15000000e+07
247.73433600,1.36000000e+08
247.79065800,3.24000000e+08
247.81130900,1.24000000e+08
247.85719900,5.46000000e+08
247.92301000,1.44000000e+08
247.94801400,1.05000000e+08
247.97762400,8.70000000e+08
248.01573300,1.24000000e+09
248.09510100,8.72000000e+08
248.10492200,1.80000000e+08
248.15776400,1.60000000e+08
248.21171100,9.10000000e+08
248.23258000,8.92000000e+08
248.26573100,1.25000000e+09
248.26755000,1.78400000e+09
248.28666300,6.76000000e+08
248.32709500,5.28000000e+09
248.33712600,1.20800000e+09
248.35332800,1.04500000e+08
248.36579200,6.72000000e+08
248.37234400,5.40000000e+08
248.41871900,6.78000000e+08
248.42449700,8.26000000e+08
248.44420000,1.72800000e+09
248.47106200,2.68000000e+08
248.48093000,1.84000000e+08
248.63509600,1.54000000e+09
248.66918200,1.32300000e+08
248.70658200,1.92000000e+08
248.79240000,9.80000000e+06
248.81425300,3.78000000e+09
248.83198500,1.06800000e+09
248.83530000,1.47200000e+09
248.94803500,7.08000000e+08
248.94840900,6.12000000e+08
248.97521800,6.93000000e+08
248.98296500,2.32800000e+09
249.06441000,2.40800000e+09
249.07126300,1.72800000e+09
249.08580800,7.04000000e+08
249.11548000,1.45500000e+09
249.12345600,4.02000000e+08
249.13962000,8.08000000e+08
249.19890200,2.92500000e+08
249.23438700,2.76000000e+08
249.28908800,4.00000000e+08
249.31843700,2.82800000e+09
249.32233400,4.26000000e+08
249.32634000,4.86400000e+09
249.37514600,1.11000000e+09
249.38765700,1.04400000e+09
249.58683100,3.22800000e+09
249.63370200,9.12000000e+08
249.63958700,1.98000000e+08
249.65336500,2.36500000e+08
249.77136300,8.00000000e+07
249.78189700,1.00800000e+09
249.80818200,1.17000000e+09
249.88973300,2.54400000e+09
249.89677100,4.72000000e+08
250.09233100,1.92800000e+09
250.11317400,4.72500000e+08
250.13506300,3.00000000e+08
250.20438000,1.50000000e+08
250.23927400,1.14400000e+09
250.32198900,1.44000000e+08
250.33261700,8.76000000e+08
250.34082700,1.68000000e+08
250.35387400,2.65600000e+08
250.35645900,2.53000000e+08
250.36302300,2.80000000e+08
250.38741200,2.23000000e+09
250.48903500,1.90000000e+08
250.50081000,2.81600000e+08
250.60933100,9.90000000e+08
250.64324400,1.10000000e+08
250.65716500,1.83600000e+08
250.67205000,3.68000000e+08
250.67966200,1.98000000e+09
250.75941500,2.60000000e+08
250.76635600,3.76000000e+08
250.76862500,2.58000000e+08
250.79001700,1.73700000e+08
250.83410600,3.80000000e+08
250.91210200,1.90000000e+08
250.91468000,1.76000000e+08
250.94828300,1.60000000e+08
250.97020800,1.40000000e+08
250.98630800,1.80000000e+08
251.01212000,1.56000000e+08
251.03847200,4.60000000e+08
251.05644100,1.23200000e+08
251.08346800,6.45000000e+08
251.13803200,4.20000000e+08
251.16254000,1.44000000e+08
251.17601600,2.30000000e+09
251.19245600,9.78000000e+08
251.23740500,1.98000000e+08
251.25218900,7.56000000e+08
251.31505500,2.00000000e+08
251.43829100,1.68800000e+09
251.49064500,8.00000000e+07
251.49331000,7.80000000e+07
251.51190000,1.70400000e+09
251.59057100,5.04000000e+08
251.71328900,3.60000000e+08
251.76611200,1.10600000e+08
251.79705900,3.36000000e+08
251.81014500,5.79000000e+08
251.85344400,5.40000000e+08
251.90468900,1.26000000e+09
251.96030900,1.76000000e+08
251.96293000,6.70000000e+07
252.01730000,1.47000000e+07
252.02624300,1.56000000e+08
252.06732500,7.40000000e+07
252.10914400,8.20000000e+08
252.12165600,1.32600000e+09
252.14858000,3.20400000e+09
252.18151800,1.88800000e+09
252.28491700,1.91700000e+09
252.28917200,2.13000000e+09
252.34413300,2.36000000e+08
252.42922800,3.23000000e+08
252.47536700,3.12000000e+08
252.51095900,4.70000000e+08
252.53287300,4.24000000e+08
252.53875700,2.67400000e+09
252.54771900,2.28000000e+08
252.56304600,2.76000000e+08
252.58636500,3.60000000e+08
252.59185800,5.92000000e+08
252.60745500,2.80000000e+08
252.62936600,1.48200000e+09
252.66158400,5.68000000e+08
252.71042400,3.70000000e+08
252.71558400,1.08000000e+08
252.72654800,4.49800000e+08
252.74344200,1.35100000e+09
252.74537700,7.38000000e+08
252.77047800,7.28000000e+08
252.90769600,1.08000000e+09
252.91348000,4.95500000e+08
252.92280400,3.30000000e+08
252.93077000,3.40200000e+09
252.95442700,2.20000000e+09
252.95585700,8.08000000e+08
252.98352300,1.14900000e+08
252.99311200,1.60000000e+08
253.01016000,3.96000000e+08
253.01097200,3.44000000e+08
253.04177200,5.04000000e+08
253.18709100,2.30000000e+09
253.31409500,2.27700000e+08
253.36270600,2.30400000e+09
253.44183800,1.46400000e+09
253.45033700,1.03000000e+09
253.48890000,3.44000000e+08
253.53623000,1.00000000e+09
253.54853400,6.00000000e+08
253.56068200,2.87700000e+08
253.66723500,6.84000000e+08
253.68046500,1.69000000e+09
253.68449100,9.52000000e+08
253.71376700,1.44000000e+09
253.71743500,5.55000000e+09
253.75250000,1.71000000e+07
253.82042000,1.51200000e+09
253.85001400,3.54000000e+08
253.86787400,5.92000000e+08
253.87374400,8.64000000e+08
253.87984600,1.41000000e+09
253.89091500,1.02400000e+09
253.89931900,2.31600000e+09
253.93275200,3.10800000e+09
254.05227000,2.60000000e+08
254.06641300,1.36000000e+09
254.06763300,1.90000000e+08
254.09718600,4.79500000e+08
254.11007800,5.76000000e+08
254.18354700,4.92000000e+08
254.21012500,5.81100000e+09
254.27358400,3.20000000e+08
254.30799900,1.58000000e+09
254.33777000,8.04000000e+08
254.34312200,3.20000000e+08
254.39223500,5.17000000e+09
254.49725600,2.34000000e+08
