wavelength,spectrum
195.45022583007812,20.32107368692735
195.52328491210938,28.367660343270103
195.59634399414062,24.92257065427799
195.6693878173828,29.50393599174086
195.74246215820312,19.76938959865788
195.8155059814453,22.932378371402763
195.8885498046875,25.982707446122077
195.9615936279297,20.441476319525094
196.03463745117188,20.663640469738766
196.10768127441406,20.7581623435282
196.18072509765625,23.35127113175895
196.25375366210938,19.545489740611686
196.32679748535156,22.957542908762434
196.3998260498047,21.978061685378748
196.4728546142578,27.640211640211646
196.54586791992188,26.415479416699668
196.61891174316406,21.486514388953424
196.69192504882812,23.14608336559556
196.76495361328125,23.184798038456563
196.8379669189453,22.683184927087353
196.91098022460938,22.977029294102465
196.98397827148438,23.631952510001298
197.0570068359375,37.361536972513306
197.1300048828125,29.294876758291394
197.20301818847656,39.54626403406894
197.27601623535156,31.876371144663835
197.34901428222656,23.534004387662947
197.42201232910156,24.65499419279979
197.49501037597656,27.22919086333718
197.56800842285156,23.54755452316428
197.6409912109375,27.832623564330873
197.71397399902344,54.16195638146857
197.78695678710938,298.1633178474649
197.8599395751953,306.97341592463545
197.9329376220703,311.6741515034198
198.00592041015625,308.01909923861143
198.07888793945312,309.4839334107627
198.15185546875,310.58285585236877
198.22482299804688,311.0037424183766
198.29779052734375,315.77888114595504
198.3707733154297,312.2228093947614
198.44374084472656,310.0846560846561
198.51669311523438,305.7079623177184
198.58966064453125,313.0967866821525
198.66261291503906,307.99767711962835
198.73556518554688,309.332042844238
198.80853271484375,309.29352819718747
198.88145446777344,306.2004129565105
198.95440673828125,311.78655310362626
199.02734375,311.910569105691
199.10028076171875,314.3709575429095
199.1732177734375,315.4969673506259
199.2461700439453,316.8568847593238
199.31910705566406,312.41773132017033
199.3920440673828,313.00129048909537
199.4649658203125,315.7404826429217
199.5378875732422,317.3175893663699
199.61080932617188,316.7552651955098
199.68374633789062,311.3574654794167
199.7566680908203,314.2313846947993
199.82958984375,319.15653632726804
199.90249633789062,318.35301974448384
199.9754180908203,308.5129113433999
200.04832458496094,310.68099109562525
200.12123107910156,310.6572460962705
200.19415283203125,312.9394760614273
200.2670440673828,313.3814685765905
200.33993530273438,319.1129177958446
200.41282653808594,319.2521615692347
200.4857177734375,325.1087882307395
200.55862426757812,331.2004129565105
200.6315155029297,337.7760420699452
200.70440673828125,339.088082333205
200.7772979736328,333.3166279519945
200.8501739501953,333.9026971222093
200.9230499267578,324.79042457091236
200.99594116210938,325.1417666795723
201.06883239746094,328.8186862821009
201.14169311523438,335.26906697638407
201.21456909179688,325.49735449735454
201.28741455078125,323.66893147502975
201.36029052734375,333.14750290360047
201.4331512451172,330.7251258226868
201.5060272216797,335.07130597496524
201.57888793945312,348.6540198735321
201.65174865722656,353.0958833397858
201.72459411621094,335.19783197831975
201.7974395751953,344.00993676603434
201.87030029296875,338.3951477610014
201.94314575195312,350.9012775842044
202.0159912109375,366.077500322623
202.0888214111328,371.7722996515687
202.1616668701172,380.59091495676864
202.23451232910156,370.90837527422894
202.30734252929688,368.1710607820371
202.38018798828125,354.2029939347012
202.45301818847656,341.44877403536015
202.5258331298828,335.0120144534793
202.59864807128906,334.9796102722932
202.67147827148438,329.8594657375145
202.74429321289062,333.09085043231386
202.81712341308594,332.90527810040004
202.8899383544922,339.0449090205188
202.96275329589844,348.04723190089044
203.03555297851562,358.5092269970319
203.10836791992188,363.1587301587301
203.18116760253906,364.64550264550263
203.2539825439453,363.87508065556847
203.3267822265625,353.2971996386631
203.3995819091797,347.91405342624853
203.4723663330078,345.3785004516712
203.545166015625,348.41850561362753
203.61795043945312,353.62266098851467
203.6907501220703,342.25481352432644
203.76353454589844,344.917608723707
203.8363037109375,340.4425087108014
203.90908813476562,342.37921667311986
203.98187255859375,342.71247902955224
204.0546417236328,347.1980320041303
204.12744140625,337.4103755323267
204.2001953125,341.4559297973932
204.27296447753906,336.3244289585753
204.34573364257812,343.78552071235
204.4185028076172,339.9513485611046
204.49124145507812,341.9216673119112
204.5640106201172,341.48948251387276
204.63677978515625,343.2891986062718
204.70953369140625,348.88101690540714
204.78228759765625,346.57413859852886
204.8550262451172,342.284681894438
204.92776489257812,341.95199380565236
205.0005340576172,346.3246289843858
205.07327270507812,338.60343270099366
205.14599609375,340.71093044263773
205.21873474121094,341.9341850561363
205.29147338867188,345.2873919215383
205.36419677734375,351.4826429216673
205.43692016601562,354.62833914053425
205.50967407226562,360.28906955736227
205.5823974609375,365.79081171764096
205.6551055908203,363.58330107110595
205.7278289794922,359.63195251000127
205.80055236816406,362.787527422894
205.8732452392578,361.6945412311266
205.94598388671875,356.4432830042586
206.01869201660156,358.18461091753846
206.0913848876953,359.51929281197573
206.16409301757812,352.53168150729124
206.23680114746094,352.2534520583301
206.30947875976562,359.38443670150986
206.3822021484375,355.21396309201185
206.45489501953125,349.86333720480064
206.52757263183594,353.23293328171377
206.6002655029297,361.5329139243781
206.67295837402344,364.7922312556459
206.74563598632812,366.9796102722932
206.81832885742188,369.6752548715971
206.89102172851562,372.47051232417084
206.96368408203125,367.6426635694928
207.03636169433594,364.57530003871466
207.10903930664062,364.25662020906
207.18170166015625,363.06310491676345
207.25437927246094,374.922828752097
207.32704162597656,373.8743063621112
207.3997039794922,374.25016776358314
207.4723663330078,366.0682668731449
207.54501342773438,367.36856368563684
207.61767578125,371.08452703574653
207.69032287597656,366.81133049425733
207.7629852294922,363.8286940250362
207.8356170654297,363.6389211511163
207.90826416015625,367.84753516582856
207.9809112548828,370.46103368176614
208.0535430908203,377.3015873015873
208.12620544433594,377.83959220544585
208.19882202148438,387.5445863982449
208.27146911621094,380.7353916634412
208.34408569335938,383.2439734159254
208.41671752929688,392.14814814814815
208.4893341064453,388.1465995612337
208.56198120117188,391.4227642276423
208.63458251953125,394.711704736095
208.70721435546875,391.1500838817912
208.77981567382812,389.0540714930959
208.85243225097656,388.54755452316425
208.92503356933594,390.07949412827463
208.99765014648438,383.9698025551684
209.0702667236328,391.7385469092786
209.1428680419922,388.9750935604594
209.21546936035156,401.07536456316944
209.28807067871094,394.7080332946194
209.36065673828125,402.2875209704478
209.4332733154297,398.8261130468455
209.50584411621094,405.79746418892836
209.5784454345703,416.24578010065886
209.65101623535156,421.91245967221795
209.7235870361328,426.6738934056007
209.7961883544922,440.66808620467157
209.86874389648438,457.8379145696219
209.94134521484375,460.903413343658
210.013916015625,444.767970060653
210.0864715576172,427.8665053555305
