wavelength,spectrum
195.45022583007812,38.87986354100684
195.52328491210938,40.531432417801135
195.59634399414062,29.577825662534792
195.6693878173828,37.21193031516952
195.74246215820312,33.02089625917741
195.8155059814453,23.232391176602967
195.8885498046875,42.726719813363246
195.9615936279297,30.202245352311994
196.03463745117188,24.610024989098726
196.10768127441406,39.65466223285701
196.18072509765625,20.508998779653208
196.25375366210938,27.5242342279119
196.32679748535156,21.83606828716769
196.3998260498047,28.494539520988226
196.4728546142578,37.31616763743299
196.54586791992188,29.220735645835468
196.61891174316406,8.765200550755596
196.69192504882812,21.185335817653197
196.76495361328125,20.90823223407704
196.8379669189453,12.584130456763898
196.91098022460938,17.62094911638478
196.98397827148438,18.863961970171644
197.0570068359375,9.129089227811745
197.1300048828125,12.175721435249892
197.20301818847656,7.2370510277478255
197.27601623535156,12.486899838398717
197.34901428222656,11.15088869318635
197.42201232910156,11.413141904422908
197.49501037597656,6.151943200790936
197.56800842285156,4.313524301888093
197.6409912109375,6.815709296197251
197.71397399902344,11.64147344247872
197.78695678710938,470.4069556961651
197.8599395751953,476.78409321537004
197.9329376220703,500.8861635211782
198.00592041015625,494.1754590279815
198.07888793945312,472.71090780544137
198.15185546875,463.94888171902346
198.22482299804688,459.97224768370813
198.29779052734375,445.87253112774124
198.3707733154297,436.09633731279024
198.44374084472656,420.5695423904901
198.51669311523438,425.3668823295317
198.58966064453125,401.9469702088354
198.66261291503906,388.5748335117718
198.73556518554688,386.79171624673586
198.80853271484375,375.66659974763576
198.88145446777344,363.43854742971627
198.95440673828125,368.23322899545093
199.02734375,367.01636421491594
199.10028076171875,352.635249928694
199.1732177734375,341.18814090088557
199.2461700439453,327.8861525055687
199.31910705566406,308.9122739411126
199.3920440673828,294.6398320745984
199.4649658203125,274.7440458730082
199.5378875732422,285.9469396144669
199.61080932617188,273.0529160942315
199.68374633789062,254.18123765890329
199.7566680908203,243.03164851125027
199.82958984375,245.1436837462561
199.90249633789062,216.44755707380946
199.9754180908203,230.31717015786654
200.04832458496094,211.50226288981202
200.12123107910156,213.08501547852103
200.19415283203125,221.60361298912767
200.2670440673828,201.67854964981183
200.33993530273438,183.8493756734978
200.41282653808594,177.9020322961528
200.4857177734375,163.46445674455887
200.55862426757812,150.27680219501627
200.6315155029297,152.73486130744448
200.70440673828125,152.9184534722121
200.7772979736328,140.54537945945953
200.8501739501953,147.4548835555555
200.9230499267578,132.27930488888896
200.99594116210938,133.88759999999994
201.06883239746094,107.75299733333343
201.14169311523438,117.42286577777777
201.21456909179688,118.10651377777793
201.28741455078125,109.55715199999997
201.36029052734375,117.60257244444445
201.4331512451172,115.58819200000002
201.5060272216797,112.81583822222238
201.57888793945312,150.57525511111112
201.65174865722656,140.3051697777779
201.72459411621094,139.42874488888899
201.7974395751953,137.91697599999992
201.87030029296875,130.05338488888893
201.94314575195312,115.0498346666667
202.0159912109375,127.93235377777783
202.0888214111328,134.5273742222221
202.1616668701172,156.64543111111112
202.23451232910156,169.3284
202.30734252929688,156.47294577777777
202.38018798828125,136.10971733333326
202.45301818847656,125.97788444444438
202.5258331298828,89.45666133333334
202.59864807128906,99.7801084444444
202.67147827148438,86.18423644444434
202.74429321289062,86.51694044444444
202.81712341308594,72.4683608888889
