wavelength,spectrum
195.45022583007812,12.0
195.52328491210938,0.0
195.59634399414062,53.0
195.6693878173828,0.0
195.74246215820312,13.0
195.8155059814453,0.0
195.8885498046875,0.0
195.9615936279297,0.0
196.03463745117188,3.0
196.10768127441406,0.0
196.18072509765625,5.0
196.25375366210938,0.0
196.32679748535156,0.0
196.3998260498047,0.0
196.4728546142578,0.0
196.54586791992188,0.0
196.61891174316406,0.0
196.69192504882812,0.0
196.76495361328125,0.0
196.8379669189453,0.0
196.91098022460938,0.0
196.98397827148438,0.0
197.0570068359375,0.0
197.1300048828125,0.0
197.20301818847656,0.0
197.27601623535156,0.0
197.34901428222656,0.0
197.42201232910156,0.0
197.49501037597656,0.0
197.56800842285156,0.0
197.6409912109375,0.0
197.71397399902344,0.0
197.78695678710938,441.0
197.8599395751953,344.0
197.9329376220703,479.0
198.00592041015625,329.8000000000002
198.07888793945312,465.0
198.15185546875,365.4000000000001
198.22482299804688,447.0
198.29779052734375,363.8000000000002
198.3707733154297,412.0
198.44374084472656,314.0
198.51669311523438,431.0
198.58966064453125,291.4000000000001
198.66261291503906,430.0
198.73556518554688,322.0
198.80853271484375,402.8000000000002
198.88145446777344,311.4000000000001
198.95440673828125,352.0
199.02734375,283.0
199.10028076171875,391.4000000000001
199.1732177734375,263.4000000000001
199.2461700439453,384.0
199.31910705566406,289.0
199.3920440673828,361.0
199.4649658203125,274.0
199.5378875732422,346.4000000000001
199.61080932617188,238.0
199.68374633789062,310.0
199.7566680908203,205.4000000000001
199.82958984375,300.0
199.90249633789062,179.4000000000001
199.9754180908203,285.0
200.04832458496094,191.0
200.12123107910156,255.0
200.19415283203125,183.0
200.2670440673828,245.0
200.33993530273438,119.0
200.41282653808594,239.0
200.4857177734375,170.0
200.55862426757812,257.0
200.6315155029297,134.0
200.70440673828125,208.0
200.7772979736328,137.0
200.8501739501953,193.0
200.9230499267578,106.0
200.99594116210938,212.4000000000001
201.06883239746094,97.0
201.14169311523438,202.4000000000001
201.21456909179688,89.40000000000009
201.28741455078125,194.4000000000001
201.36029052734375,140.0
201.4331512451172,179.4000000000001
201.5060272216797,87.0
201.57888793945312,198.0
201.65174865722656,76.40000000000009
201.72459411621094,184.0
201.7974395751953,55.0
201.87030029296875,171.4000000000001
201.94314575195312,96.0
202.0159912109375,145.0
202.0888214111328,86.40000000000009
202.1616668701172,168.4000000000001
202.23451232910156,35.0
202.30734252929688,121.0
202.38018798828125,27.0
202.45301818847656,161.0
202.5258331298828,27.0
202.59864807128906,156.0
202.67147827148438,83.0
202.74429321289062,105.40000000000009
202.81712341308594,0.0
202.8899383544922,101.80000000000018
202.96275329589844,44.0
203.03555297851562,168.4000000000001
203.10836791992188,57.0
203.18116760253906,124.40000000000009
203.2539825439453,22.0
203.3267822265625,124.0
203.3995819091797,48.0
203.4723663330078,145.0
203.545166015625,34.0
203.61795043945312,184.0
203.6907501220703,53.0
203.76353454589844,179.0
203.8363037109375,77.0
203.90908813476562,158.0
203.98187255859375,80.0
204.0546417236328,131.0
204.12744140625,61.0
204.2001953125,196.4000000000001
204.27296447753906,47.40000000000009
204.34573364257812,183.0
204.4185028076172,59.0
204.49124145507812,160.0
204.5640106201172,100.0
204.63677978515625,131.0
204.70953369140625,96.0
204.78228759765625,146.0
204.8550262451172,71.40000000000009
204.92776489257812,144.0
205.0005340576172,39.0
205.07327270507812,138.0
205.14599609375,91.40000000000009
205.21873474121094,144.4000000000001
205.29147338867188,39.40000000000009
205.36419677734375,151.0
205.43692016601562,46.0
205.50967407226562,165.0
205.5823974609375,91.0
205.6551055908203,172.0
205.7278289794922,112.0
205.80055236816406,122.40000000000009
205.8732452392578,100.0
205.94598388671875,180.0
206.01869201660156,61.0
206.0913848876953,170.4000000000001
206.16409301757812,75.0
206.23680114746094,173.4000000000001
206.30947875976562,119.40000000000009
206.3822021484375,196.0
206.45489501953125,111.0
206.52757263183594,160.0
206.6002655029297,66.0
206.67295837402344,162.0
206.74563598632812,63.0
206.81832885742188,177.0
206.89102172851562,100.0
206.96368408203125,199.0
207.03636169433594,114.0
207.10903930664062,169.0
207.18170166015625,78.0
207.25437927246094,154.0
207.32704162597656,53.0
207.3997039794922,179.0
207.4723663330078,11.0
207.54501342773438,141.0
207.61767578125,66.0
207.69032287597656,138.0
207.7629852294922,51.0
207.8356170654297,132.0
207.90826416015625,87.0
207.9809112548828,186.0
208.0535430908203,104.0
208.12620544433594,171.4000000000001
208.19882202148438,75.0
208.27146911621094,159.0
208.34408569335938,98.0
208.41671752929688,129.4000000000001
208.4893341064453,69.0
208.56198120117188,144.0
208.63458251953125,46.40000000000009
208.70721435546875,133.0
208.77981567382812,45.0
208.85243225097656,164.0
208.92503356933594,81.0
208.99765014648438,154.0
209.0702667236328,68.40000000000009
209.1428680419922,156.0
209.21546936035156,18.0
209.28807067871094,195.4000000000001
209.36065673828125,51.40000000000009
209.4332733154297,161.4000000000001
209.50584411621094,91.0
209.5784454345703,149.4000000000001
209.65101623535156,120.0
209.7235870361328,158.0
209.7961883544922,71.0
209.86874389648438,205.4000000000001
209.94134521484375,81.0
210.013916015625,196.0
210.0864715576172,66.0
210.1590576171875,169.0
210.2316131591797,76.40000000000009
210.30419921875,140.0
210.3767547607422,77.0
210.4492950439453,144.0
210.52186584472656,46.0
210.5944061279297,172.0
210.6669464111328,72.0
210.739501953125,151.0
210.8120574951172,113.0
210.8845977783203,196.0
210.95713806152344,131.4000000000001
211.02967834472656,163.0
211.10220336914062,82.0
211.17474365234375,171.0
211.24728393554688,41.0
211.31980895996094,170.0
211.39234924316406,124.0
211.46485900878906,164.4000000000001
211.53736877441406,130.0
211.60987854003906,150.0
211.6824188232422,68.40000000000009
211.7549285888672,138.4000000000001
211.8274383544922,33.0
211.89993286132812,126.0
211.9724578857422,24.0
212.04495239257812,113.0
212.11746215820312,59.0
212.18995666503906,102.0
