wavelength,spectrum
195.45022583007812,0.0
195.52328491210938,0.0
195.59634399414062,26.0
195.6693878173828,0.0
195.74246215820312,0.0
195.8155059814453,0.0
195.8885498046875,0.0
195.9615936279297,0.0
196.03463745117188,0.0
196.10768127441406,0.0
196.18072509765625,0.0
196.25375366210938,0.0
196.32679748535156,0.0
196.3998260498047,0.0
196.4728546142578,0.0
196.54586791992188,0.0
196.61891174316406,0.0
196.69192504882812,0.0
196.76495361328125,0.0
196.8379669189453,0.0
196.91098022460938,0.0
196.98397827148438,0.0
197.0570068359375,0.0
197.1300048828125,0.0
197.20301818847656,0.0
197.27601623535156,0.0
197.34901428222656,0.0
197.42201232910156,0.0
197.49501037597656,0.0
197.56800842285156,0.0
197.6409912109375,0.0
197.71397399902344,0.0
197.78695678710938,530.0
197.8599395751953,435.0
197.9329376220703,573.0
198.00592041015625,423.0
198.07888793945312,558.0
198.15185546875,460.0
198.22482299804688,540.0
198.29779052734375,455.0
198.3707733154297,508.0
198.44374084472656,408.0
198.51669311523438,521.0
198.58966064453125,389.0
198.66261291503906,518.0
198.73556518554688,415.0
198.80853271484375,501.0
198.88145446777344,401.0
198.95440673828125,432.0
199.02734375,362.0
199.10028076171875,469.0
199.1732177734375,340.0
199.2461700439453,464.0
199.31910705566406,368.0
199.3920440673828,440.0
199.4649658203125,349.0
199.5378875732422,424.0
199.61080932617188,306.0
199.68374633789062,376.0
199.7566680908203,266.0
199.82958984375,360.3000000000002
199.90249633789062,234.0
199.9754180908203,341.0
200.04832458496094,244.0
200.12123107910156,311.0
200.19415283203125,236.0
200.2670440673828,298.0
200.33993530273438,160.0
200.41282653808594,273.0
200.4857177734375,197.0
200.55862426757812,282.0
200.6315155029297,157.0
200.70440673828125,230.0
200.7772979736328,159.0
200.8501739501953,219.0
200.9230499267578,127.0
200.99594116210938,236.0
201.06883239746094,119.0
201.14169311523438,227.0
201.21456909179688,112.0
201.28741455078125,220.0
201.36029052734375,154.0
201.4331512451172,196.0
201.5060272216797,100.0
201.57888793945312,208.0
201.65174865722656,84.0
201.72459411621094,195.0
201.7974395751953,65.0
201.87030029296875,180.0
201.94314575195312,102.0
202.0159912109375,149.0
202.0888214111328,82.0
202.1616668701172,163.0
202.23451232910156,28.0
202.30734252929688,118.0
202.38018798828125,19.0
202.45301818847656,161.0
202.5258331298828,26.0
202.59864807128906,156.0
202.67147827148438,90.0
202.74429321289062,106.0
202.81712341308594,0.0
202.8899383544922,100.0
202.96275329589844,31.0
203.03555297851562,158.0
203.10836791992188,44.0
203.18116760253906,116.0
203.2539825439453,14.0
203.3267822265625,120.0
203.3995819091797,48.0
203.4723663330078,145.0
203.545166015625,34.0
203.61795043945312,189.0
203.6907501220703,59.0
203.76353454589844,186.0
203.8363037109375,86.0
203.90908813476562,169.0
203.98187255859375,88.0
204.0546417236328,142.0
204.12744140625,73.0
204.2001953125,209.0
204.27296447753906,58.0
204.34573364257812,199.0
204.4185028076172,68.0
204.49124145507812,168.0
204.5640106201172,104.0
204.63677978515625,135.0
204.70953369140625,101.0
204.78228759765625,150.0
204.8550262451172,71.0
204.92776489257812,145.0
205.0005340576172,43.0
205.07327270507812,142.0
205.14599609375,94.0
205.21873474121094,148.0
205.29147338867188,41.30000000000018
205.36419677734375,154.0
205.43692016601562,45.0
205.50967407226562,161.0
205.5823974609375,91.0
205.6551055908203,172.0
205.7278289794922,118.0
205.80055236816406,132.30000000000018
205.8732452392578,114.0
205.94598388671875,192.0
206.01869201660156,75.0
206.0913848876953,187.0
206.16409301757812,90.0
206.23680114746094,186.0
206.30947875976562,130.0
206.3822021484375,208.0
206.45489501953125,125.0
206.52757263183594,172.0
206.6002655029297,75.0
206.67295837402344,165.0
206.74563598632812,74.0
206.81832885742188,186.0
206.89102172851562,118.0
206.96368408203125,219.0
207.03636169433594,134.0
207.10903930664062,188.0
207.18170166015625,89.0
207.25437927246094,159.0
207.32704162597656,55.0
207.3997039794922,177.0
207.4723663330078,16.0
207.54501342773438,139.0
207.61767578125,68.30000000000018
207.69032287597656,140.0
207.7629852294922,58.0
207.8356170654297,141.0
207.90826416015625,103.0
207.9809112548828,208.0
208.0535430908203,130.0
208.12620544433594,193.0
208.19882202148438,95.0
208.27146911621094,169.0
208.34408569335938,107.30000000000018
208.41671752929688,140.0
208.4893341064453,80.0
208.56198120117188,154.0
208.63458251953125,62.0
208.70721435546875,153.0
208.77981567382812,63.0
